original_name,new_name,action
Wheat_Healthy (1),Wheat_Healthy,KEEP
Wheat_Leaf_Streak_Mosaic_Virus,Wheat_Leaf_Streak_Mosaic_Virus,KEEP
Wheat_Leaf_blight,Wheat_Leaf_Blight,RENAME
Wheat_Mildew,Wheat_Powdery_Mildew,RENAME
Wheat_Mildew (1),Wheat_Powdery_Mildew,RENAME
Wheat_Mite,Wheat_Spider_Mite,RENAME
Wheat_Septoria,Wheat_Septoria_Blotch,RENAME
Wheat_Smut,Wheat_Smut,KEEP
Wheat_Smut (1),Wheat_Smut,KEEP
Wheat_Stem_fly,Pest_Wheat_Stem_Fly,RENAME
Wheat_Tan_spot,Wheat_Tan_Spot,RENAME
Wheat_Yellow_rust,Wheat_Yellow_Rust,RENAME
Whiteflies_Leaf,Pest_Whitefly,RENAME
Wireworm,Pest_Wireworm,RENAME
alfalfa_plant_bug,Pest_Alfalfa_Plant_Bug,RENAME
beetle,Pest_Beetle,RENAME
blast blé,Wheat_Blast,RENAME
bollworm,Pest_Bollworm,RENAME
chili_healthy,Chili_Healthy,RENAME
fall armyworm (Spodoptera frugiperda) Dammage,Pest_Fall_Armyworm,RENAME
fall armyworm (Spodoptera frugiperda) Larve,Pest_Fall_Armyworm_Larva,RENAME
fall armyworm (Spodoptera frugiperda) Larve adults,Pest_Fall_Armyworm,RENAME
gauva_diseased,Guava_Disease,RENAME
healthy blé,Wheat_Healthy,RENAME
insect blé,,DELETE
kudzu bug (Megacopta cribraria (Fabricius)),Pest_Kudzu_Bug,RENAME
leaf_folder blé,Pest_Leaf_Folder,RENAME
lesser cornstalk borer (Elasmopalpus lignosella),Pest_Lesser_Cornstalk_Borer,RENAME
lokat Leaf_spot,Wood_Apple_Leaf_Spot,RENAME
maize fall army worm,Pest_Fall_Armyworm,RENAME
persimmons Brown_spot,Persimmon_Brown_Spot,RENAME
rhododendron stem borer (Oberea myops,Pest_Rhododendron_Stem_Borer,RENAME
root rotdamping off (Genus Rhizoctonia DC.),,DELETE
root-knot nematode (Genus Meloidogyne),Pest_Root_Knot_Nematode,RENAME
scald blé,Wheat_Leaf_Scald,RENAME
stem-boring weevil (Mecinus janthinus Germar),Pest_Stem_Boring_Weevil,RENAME
stripes blé,Wheat_Yellow_Rust,RENAME
tomato spider mites,Tomato_Spider_Mite,RENAME
tomato_healthy_leaf,Tomato_Healthy,RENAME
tomato_leaf_miner,Pest_Tomato_Leaf_Miner,RENAME
tomato_septoria_leaf,Tomato_Septoria_Leaf_Spot,RENAME
tungro blé,Rice_Tungro_Disease,RENAME
