original_name,image_count,normalized_name
Chrysomelidae_Larva,166,chrysomelidae larva
Cicadellidae,1200,cicadellidae
Coccinellidae_Adult,562,coccinellidae adult
Coccinellidae_Larva,321,coccinellidae larva
Crambidae_Adult,461,crambidae adult
Crambidae_Larva,1137,crambidae larva
Delphacidae,814,delphacidae
Elateridae_Adult,310,elateridae adult
Elateridae_Larva,624,elateridae larva
Flatidae,638,flatidae
Fulgoridae,1200,fulgoridae
Gryllotalpidaeç,1201,gryllotalpidaeç
Limacodidae_Adult,300,limacodidae adult
Limacodidae_Larva,1200,limacodidae larva
Miridae,1200,miridae
Noctuidae_Adult,609,noctuidae adult
Noctuidae_Larva,961,noctuidae larva
Nymphalidae_Adult,609,nymphalidae adult
Nymphalidae_Larva,273,nymphalidae larva
Papilionidae_Adult,526,papilionidae adult
Papilionidae_Larva,250,papilionidae larva
Scarabaeidae_Adult,835,scarabaeidae adult
Scarabaeidae_Larva,721,scarabaeidae larva
Sphingidae_Adult,580,sphingidae adult
Sphingidae_Larva,295,sphingidae larva
Bean_Angular_Leaf_Spot,280,bean angular leaf spot
Bean_Cercospora_Leaf_Spot,160,bean cercospora leaf spot
Bean_Fungi_Pathogens,260,bean fungi pathogens
Bean_Halo_Blight,250,bean halo blight
Bean_Healthy,1164,bean healthy
Bean_Tobacco_Caterpillar,266,bean tobacco caterpillar
Bean_Yellow_Mosaic,260,bean yellow mosaic
Lychee_Anthrax_Leaf,1000,lychee anthrax leaf
Lychee_Bituminous_Leaf,1000,lychee bituminous leaf
Lychee_Curl_Leaf,1000,lychee curl leaf
Lychee_Deficiency_Leaf,1000,lychee deficiency leaf
Lychee_Dry_Leaf,1000,lychee dry leaf
Lychee_Felt_Leaf,1000,lychee felt leaf
Lychee_Healthy,1000,lychee healthy
Lychee_Leaf_Blight,1000,lychee leaf blight
Lychee_Leaf_Gall,1000,lychee leaf gall
Cherry_Healthy (1),1200,cherry healthy
Cherry_Powdery_mildew (1),1200,cherry powdery mildew
Citrus_Black_spot (1),311,citrus black spot
Citrus_canker (1),368,citrus canker
Citrus_greening (1),1200,citrus greening
Citrus_Healthy (1),87,citrus healthy
Corn_cercospora_gray_leaf_spot (1),1200,corn cercospora gray leaf spot
Corn_Common_rust (1),1200,corn common rust
Corn_healthy (1),1200,corn healthy
Corn_Northern_Leaf_Blight (1),1200,corn northern leaf blight
Cotton_bacterial_blight (1),448,cotton bacterial blight
Cotton_curl_virus (1),418,cotton curl virus
Cotton_fussarium_wilt (1),419,cotton fussarium wilt
Cotton_healthy (1),425,cotton healthy
Grape_Black_Measles (1),1200,grape black measles
Grape_Black_rot (1),1200,grape black rot
Grape_Healthy,1200,grape healthy
Grape_Isariopsis_Leaf_Spot,1200,grape isariopsis leaf spot
Peach_Bacterial_spot,1200,peach bacterial spot
Peach_Healthy,1200,peach healthy
Potato_Early_blight,1000,potato early blight
Potato_healthy,152,potato healthy
Potato_Late_blight,1000,potato late blight
Strawberry_Healthy,1200,strawberry healthy
Strawberry_Leaf_scorch,1200,strawberry leaf scorch
Sugarcane_Healthy,522,sugarcane healthy
Sugarcane_Mosaic_Virus,462,sugarcane mosaic virus
Sugarcane_RedRot,518,sugarcane redrot
Sugarcane_Rust,514,sugarcane rust
Sugarcane_Yellow,505,sugarcane yellow
Wheat_Aphid,903,wheat aphid
Wheat_Black_Rust,576,wheat black rust
Wheat_Blast,647,wheat blast
Wheat_Brown_Rust,1200,wheat brown rust
Wheat_Common_Root_Rot,614,wheat common root rot
Wheat_Fusarium_Head_Blight,611,wheat fusarium head blight
Wheat_Healthy,1000,wheat healthy
Wheat_Leaf_Blight,842,wheat leaf blight
Wheat_Mildew,812,wheat mildew
Cauliflower Leaf_Healthy,934,cauliflower leaf healthy
Black Rot,1088,black rot
Cauliflower Leaf_Insect Hole,639,cauliflower leaf insect hole
